Query,Job Title,IT Skills,Soft Skills,Salary,Location,Education,Experience,Description,Seniority,job_id
Business Analysis,System Analyst,"Agile Methodologies, Analysis, Business Analysis, Business Intelligence, Business Process, Databases, Integration, Java, Management, Microsoft SQL Server, Oracle, Process Improvement, Program Management, Project Management, Requirements Analysis, SDLC, Software Development, Software Project Management, SQL, Systems Analysis",,"$3,400to$4,300Monthly",80 ROBINSON ROAD 068898,,3 years  exp,work closely senior application engineer design develop application solutions formulate program specifications basic prototypes transform software designs specifications high functioning code appropriate language develop test cases unit test load test integration test user acceptance test produce detailed specifications writing programme codes responsible coding testing debugging release preparation training manuals users work project manager deliver within timeline ensure work quality requirements bachelor 's degree computer science related field minimum 3 years programming experience object oriented programming languages c experience rest services e web api service stack node js experience relational database technology including scheme design stored procedure development sql series sql server preferred proven track record effectively delivering results fast paced environment managing multiple priorities proven track record delivering using ajax technologies minimum 1 year experience unit test,Junior Executive,JOB-2019-0098493
Software Development,Senior Technical quality manager,"Active Directory, Cloud Computing, Data Center, Integration, ITIL, Linux, Networking, Project Management, Security, Servers, SQL, System Administration, TCP/IP, Technical Support, Telecommunications, Troubleshooting, Unix, Virtualization, VMware, Windows Server",,"$12,000to$14,000Monthly","MAPLETREE BUSINESS CITY, 30 PASIR PANJANG ROAD 117440",,10 years  exp,technical quality manager client facing role delivering ongoing support guidance around business strategy transformation topics sales cycle completed role focuses relationship building proactive support activities turn promote overall customer satisfaction product adoption retention renewals role manages diverse high profile key accounts customers signed premium engagement contract sap sap active embedded accountable end end customer build customer sap hybrid premise landscape optimizing costs role focus cloud projects transition cloud projects system availability sla data integrity taking aspects effective application lifecycle management customer premise cloud solutions primarily delivery execution function managing end end customer sap hybrid landscape optimizing costs digital business services responsible drive adoption sap cloud guide customer journey across application lifecycle management accountable end end application product infrastructure customer sap landscape including service levels responsible services cloud contact compliance work customer renewal process responsible execute premium engagement services guide customer implementing recommendation changes using quality assurance value package services identifying improvement potential lower operational costs make sure sold gets delivered time quality pe cloud revenue gets consumed software utilized profitability managed leading customer facing cloud roles optimise enhance usage sap cloud solutions expected identify opportunities sap add value expand engagement along agreed roadmap develops service plan customer business continuity according sap best practices content premium engagement defined contract exact scope getting agreed regular alignment meetings customer service support manager lead engineering architect sap account team needs understand work several areas customer organization customer department usually department main driver inside customer organization premium engagement therefore closely work understand needs main stakeholders department department also typically project leads located main contact partners premium engagements supporting implementation maintenance projects customer business departments deliver value premium engagement understand underlying business requirements customer includes understanding real live business outcomes customers requirements coming customer customers competitive market situation partner eco system requirements end users shape existing premium engagement support offerings adapt new changing market demands memory computing mobile cloud customer purchasing department make sure customer sees value engagement continue engagement also needs understand customer signed premium engagement contract experience problem resolution able effectively resolve drive resolution problems require creation new innovative approaches ability manage customer solutions top maintenance segment level 1 able manage enterprises larger size solution landscape contributes solution critical customer issues good understanding sap technology understanding sap business suite application good understanding dbs tools e g sap solution manager able present explain strategy demonstrate capabilities customers knowledge skills experience qualifications experience cloud computing delivery models e g public premise hybrid cloud solutions cloud computing platforms e g paas iaas cloud related security principles cloud computing trends innovation technologies e g big data machine learning iot blockchain important fundamental understanding hyper like aws microsoft azure google cloud platform know services provided one desired strong understanding sap cloud solutions sap cloud operation readiness experience working agile project environment experience communication senior management larger companies experience dbs onsite service team lead solution management assessment project manager implementation projects strong presentation verbal written communication skills ability articulate complex ideas easy understand business terms levels management including senior leaders c level executives education bachelor computer science science mathematics engineering similar professional training certification certification get us success make sap help make career sap open many doors searching company dedicated ideas individual growth recognizes unique contributions strong sense purpose provides fun flexible inclusive work environment apply sap 's diversity commitment harness power innovation sap development diverse employees aspire leverage qualities appreciate unique competencies person brings company sap committed principles equal employment opportunity providing reasonable accommodations applicants physical mental disabilities need accommodation special assistance navigate website complete application please send e mail request recruiting operations team americas careers sap com careers sap com apj careers apj sap com emea careers sap com successful candidates might required undergo background verification external vendor,Middle Management,JOB-2019-0098233
Network Engineering,Infrastructure Project Manager,"Budgets, Business Analysis, Business Development, Business Strategy, Change Management, Construction, Contract Management, Integration, Leadership, Management, Microsoft Office, MS Project, Process Improvement, Program Management, Project Management, Project Planning, Software Project Management, Strategic Planning, Strategy, Team Leadership",,"$6,000to$8,000Monthly","BURLINGTON SQUARE, 175A BENCOOLEN STREET 189650",,5 years  exp,role infrastructure project manager responsibilities responsible overall daily operational activities performed within fault reporting centre responsible management resources planning approving shift rosters requests changes guiding mentoring staff attending reported faults including enhancements work processes service levels develop operational reports dashboards processes monitor analyse availability sla performance metrics evaluate performance staff day day operations successful proactive maintenance downtime ability follow change management process proactively escalation point staff complex issue resolution including emergency escalation point major issues including hours weekend management relationships various internal departments external vendors ensure technicians technical specialist adhere company policies procedures performs related duties assigned requirements diploma degree electronic electrical engineering computer science required least 5 years professional experience including responsibility identifying technical problems coordinating resolution mitigation change management incident management itil v3 foundation certification preferred must possess excellent written oral communication skills excellent proven analytical skill effective positive role model mentor leader 24 7 standby interested candidates may email detailed resume dot com evaluation please note submitting application resume us would deemed given consent us collecting using retaining disclosing personal information prospective employers consideration hr consultancy pte ltd ea licence ea personnel reg,Manager,JOB-2019-0097738
Software Development,(Senior) Software Engineer (Platform),".NET, Agile Methodologies, C, C#, C++, CSS, HTML, Java, JavaScript, jQuery, Linux, Microsoft SQL Server, MySQL, PHP, Python, Software Development, Software Engineering, SQL, Web Services, XML",,"$4,000to$10,000Monthly","HAVELOCK2, 2 HAVELOCK ROAD 059763",,8 years  exp,expanding core platform team looking experienced java developers help build scale microservices working platform software architects build microservices apis background jobs related tools assisting client implementations building custom business logic web service access taking pride ownership work demonstrated careful implementation clean source code thoughtful documentation proper unit tests staying current modern development practices including continuously developing new skills needs arise requirements bachelor degree computer science related field reputable university good understanding data structures algorithms design patterns minimum 10 years relevant software development experience senior software engineer position minimum 5 years relevant experience software engineer position demonstrable competence java spring boot spring cloud maven similar build environment good logic problem solving skills include experience least one container orchestration framework kubernetes docker etc experience technologies redis mongodb rabbitmq kafka event sourcing experience continuous integration continuous deployment experience agile development related tools github jira experience product development companies,Professional,JOB-2019-0066843
Data Analytics & BI,Business System Analyst- Analytics,"Agile Methodologies, Analysis, Business Analysis, Business Intelligence, Business Process, Business Process Improvement, ERP, Integration, Management, Process Improvement, Program Management, Project Management, Requirements Analysis, Requirements Gathering, SDLC, SharePoint, Software Documentation, SQL, Vendor Management, Visio",,"$7,000to$9,000Monthly","TRIVEX, 8 BURN ROAD 369977",,7 years  exp,1 support business functions within organization analytics use cases 2 engage business understand business objectives use cases translate functional specifications development team 3 work business define success criteria business test plans analytical use cases 4 able provide recommendation business data visualization dashboards 5 techno functional position hands delivery role working business stakeholders working cross functional teams ensuring excellent business relationship 6 prepare maintain weekly status reports project delivery 7 perform data profiling come recommendations report data quality issues 8 must sql knowledge expected hands write complex data analysis good python shell scripting experience 9 expertise analytics tools like obiee tableau power bi able create logical data models analytics 10 coordinate data engineers architect leads successful delivery projects 11 functional knowledge business processes exposure erp crm software like siebel crm salesforce preferred requirements minimum 7 years experience business intelligence technologies 2 4 years experience handling business stakeholders must hands working experience obiee tableau power bi prior experience etl tools like informatica talend plus must possess excellent verbal written communication skills must able effectively communicate work fellow team members functional team members coordinate meet deliverables must team player strong inter personal skills must able work fast paced team environment minimal supervision must ability escalate issues timely manner excellent written verbal presentation documentation skills foster clarity must able effectively communicate people different levels including customers vendors management technical stake holders developers etc,Professional,JOB-2019-0098219
Software Development,IT Software Analyst,"Agile Methodologies, C#, C++, HTML, Integration, Java, JavaScript, jQuery, Linux, MySQL, PHP, Project Management, Scrum, Software Development, Software Project Management, SQL, UML, Unix, Web Services, XML",,"$3,800to$4,200Monthly",21 LOWER KENT RIDGE ROAD 119077,,3 years  exp,nus global asia institute looking software analyst create innovative engaging web portals aimed better understanding human behavior looking someone dynamic box thinker someone enjoys autonomy flexibility candidate collaborate closely team world class behavioral data scientists salary benefits commensurate skillset experience qualifications duties software analyst include building websites concept way completion aspects home page site layout function responsible writing well designed testable efficient code creating website layout user interface integrating data various back end services databases maintaining expanding sites creating updating software documentation also responsible matters relating institute website requirementsto eligible candidate possess diploma 3 years experience related degree experience back end front end development essential possess knowledge html5 css javascript python java net mysql nosql knowledge react angular vue js node js deployment projects cloud would advantageous also ability pick technology stacks fast candidates also send samples prior work github work along cv,Professional,JOB-2019-0098400
IT Management,Banking Executive,"Asset Management, Banking, Commercial Banking, Corporate Finance, Credit, Credit Analysis, Customer Service, Finance, Financial Analysis, Investments, Leadership, Loan Origination, Loans, Management, Mortgage Lending, New Business Development, Portfolio Management, Retail Banking, Risk Management, Sales",,"$4,000to$6,000Monthly",not_available,,3 years  exp,aspire make difference digital customers building omni channel strategy pioneering new digital experiences ground breaking innovations building portfolio digital projects design develop best class customer employee journeys identify opportunities digital value capture strategic cost management manage timely delivery projects identify anticipate emerging technology customer insights industry trends customer behaviour trends continuously improve online mobile offerings strive best digital bank world improve customer satisfaction channels monitor voice customers feedback channels identify areas improvement define short term action points permanent fixes remove pain points collaborate learn cross functional business partners including customer experience marketing finance legal compliance risk operations others develop holistic end end digital solutions fulfil customer business needs define business requirements digital channel enhancements review functional specifications participate sign user acceptance testing uat along processes documentation requirements background ui ux design preferably experience website app development keen interest emerging digital trends apply improve digital customer experience strong effective communicator ability analyse resolve problems use data customer feedback self motivated strong sense ownership accountability independent worker creatively take forward idea make reality,Executive,JOB-2019-0098139
Software Development,Core Java Developer,"Eclipse, Hibernate, HTML, Java, Java Enterprise Edition, JavaScript, JDBC, jQuery, JSP, MySQL, OOP, Software Development, Spring, SQL, Struts, Subversion, Tomcat, Web Applications, Web Services, XML",,"$3,500to$5,000Monthly",not_available,,2 years  exp,responsibilities develop distributed scalable solution market connectivity gateways using fix financial protocol low latency environment participate server side development low latency high performance financial trading solutions develop tools performance tracking monitoring reporting suit server side applications gain first hand knowledge cutting edge class leading technology financial trading solutions educational background experience degree educated engineering subject 2 years server side core java development experience requirementsrequired skills advanced programming knowledge core java competent low latency high performance server side development knowledge fix financial transaction protocols knowledge development lifecycle build tools git maven jira jenkins etc knowledge open source libraries frameworks spring framework apache etc working knowledge linux unix bash perl scripting skills working knowledge sql databases queries stored procedures self starter good work ethics resourceful problem solver able gain initiative work independently produce high quality solution additional requirements knowledge financial markets financial transactions equities futures skilled high performance low latency java development,"Junior Executive, Fresh/entry level",JOB-2019-0098237
Solution Architecture,Senior Solution Architect,"Agile Methodologies, Architecture, Business Analysis, Business Intelligence, Cloud Computing, Enterprise Architecture, Enterprise Software, Integration, IT Strategy, Oracle, Pre-sales, Project Management, Requirements Analysis, SDLC, SOA, Software Development, Solution Architecture, Telecommunications, Virtualization, Web Services",,"$7,000to$11,000Monthly",131 JURONG GATEWAY ROAD 600131,,7 years  exp,introduce technical vision solution develop technical solutions convert requirements architecture design blueprint solution creation understand business technical challenges functional non functional needs proposed solution provide accurate specifications according solution defined managed delivered plan execute system integration performance testing across product project systems review technical documentation design requirements 7 10 years software engineering design development mostly microservices rest api architecture strong hands programming experiences using core java 8 j2ee springboot spring tdd agile practices ios development experiences needed find career opportunities mci career services pte ltd visit www mci com sg complete jobs listing wish best career search bo ying bo registration number ea licence,"Professional, Senior Executive",JOB-2019-0117058
IT Support & Helpdesk,IT- Business Applications Support Engineer,"Algorithms, C, C++, Databases, HTML, Java, JavaScript, Linux, Matlab, Perl, Programming, Python, Simulink, Software Development, Software Engineering, SQL, Testing, Troubleshooting, Unix, Windows",,Salary undisclosed,20 TUAS SOUTH AVENUE 14 637312,,4 years  exp,role job summary techno functional position responsible providing application development administration support sap erp enterprise reporting application sql server power bi qlikview essential duties responsibilities position responsible providing application development administration support sap 0 environment enterprise reporting application sql server power bi detailed responsibilities include limited sap 0 provide technical development sap ecc system using abap provide technical development sap ecc system using abap support system integration external systems manufacturing execution system mes customer claim systems provide bug fixing sustainability support enhancements abap sap ecc collaborate sap ecc functional business users analyzing requirements change request provides impact analysis estimation well document technical requirements participate implementation projects provide post implementation support providing effective solutions end users deliver program enhancements well new solutions project using abap following sdlc best practices support site wide annual erp system access review business owners comply segregation duties audit requirements support master data engineer master data maintenance e g material bom routing customer supplier enterprise reporting application sql server power bi qlikview participate technical analysis activities gather required reporting dashboard requirements business application ba functional analyst power bi reports translate business requirements technical specifications used implement required reports dashboards created potentially multiple data sources develop stored procedures extract data enterprise systems e g sap salesforce com sharepoint sql server using ssis ssas support ba functional analyst developing power bi reports dashboards support ba analyst administration support qlikview reporting application provide application administration technical support enterprise applications includes ms sharepoint customer warranty claim system hr provide timely delivery assigned work conduct system technical testing maintain high quality deliverable well supporting operation users ba analysts user acceptance test assist preparation review technical functional test case documentation maintains effective library maintain date application database related documentation handle ba daily issues requests collaborating internal team members vendors facilitate standardized end end problem change management process implement proactive measures continuous improvements ensure robustness performance application provide level 2 support trouble shoot resolve application related issues implement preventive actions develop scripts application monitoring alerts recovery produce maintain problem management process documentation ensure preventive corrective action plans address source root cause cause contributing cause problem participate change management problem management incident management production support related forums perform verification testing activities system upgrades patch deployment system maintenance activities produce communicate metrics show effectiveness problem management effort initiate continuous improvements solve recurring issues monitor review daily weekly monthly audit related logs prepare documents monthly system audit take preventive actions data archiving etc maintain system performances work streams like platforms infrastructure mes governance commercial finance etc ensure compliance control policies procedures project management support function responsible minor projects conduct end users trainings new applications troubleshooting project problems manage transition transformation application tools work processes ensure compliance control policies procedures additional responsibilities must able motivate create working environment results successful services delivery client satisfaction technical evaluation implementation support business applications erp hr reporting platform manage small scale projects requirementstechnical professional least 4 years sap abap experience programming experience microsoft platform asp net c experience coding object oriented abap implementing enhancements experience working application team providing sap support preferred experience operating erp business applications integration mes systems manufacturing environment technical knowledge system administration functions preferred manufacturing high tech wafer industry general degree information technology computer science computer engineering related disciplines strong troubleshooting skills experience documenting processes creating work instructions needed good interpersonal communication skill able gather requirements provide effective technical solution high levels drive initiative work well team possess strong analytical good troubleshooting skills team player customer service oriented additional advantageous skills experience erp application support business continuity management functional knowledge manufacturing logistics finance maintenance areas sap domain mm pp sd knowledge manufacturing technical knowledge microsoft office products e g sharepoint asp net c company transport provided various locations including malaysia,Executive,JOB-2019-0116623
